created_at,category,title,handle,url,vendor,product_type,variants,price_min,price_max,tags
2025-01-06T14:52:52+09:00,hololive friends,hololive friends with u 春先のどか,hololivefriendswithu_harusakinodoka,https://shop.hololivepro.com/products/hololivefriendswithu_harusakinodoka,hololive production official shop,,1,3740,3740,hololivefriends | hololiveoffice | Recommended_MERCH | Talent_春先のどか
2025-01-07T09:28:22+09:00,シリーズ/アパレル,ReGLOSS's PLAYLIST 05,reglosssplaylist_05,https://shop.hololivepro.com/products/reglosssplaylist_05,hololive DEV_IS,,8,550,8250,Generation_ReGLOSS | Group_hololiveDEV_IS | Recommended_MERCH | reglosssplaylist | Talent_一条莉々華 | Talent_儒烏風亭らでん | Talent_火威青 | Talent_轟はじめ | Talent_音乃瀬奏
2025-01-07T10:25:53+09:00,シリーズ/アパレル,hololive Seasonal Days ホロライブバレンタイン ～Message for You～,hsd_valentine2025,https://shop.hololivepro.com/products/hsd_valentine2025,hololive production official shop,,16,350,6600,_group:hololiveValentine2025 | Generation_ReGLOSS | Generation_ホロライブ0期生 | Generation_ホロライブ1期生 | Generation_ホロライブゲーマーズ | Generation_秘密結社holoX | Group_hololiveDEV_IS | Group_ホロライブ | hololive_seasonaldays | hololiveseasonaldays | hololiveValentine2025 | hsd_hololivevalentine | Recommended_MERCH | Talent_AZKi | Talent_一条莉々華 | Talent_博衣こより | Talent_星街すいせい | Talent_白上フブキ | Talent_風真いろは
2025-01-07T11:57:37+09:00,その他,ホロライブバレンタイン ～Message for You～ バレンタインフレグランス＆お手紙セット,hsd_valentine2025_fragrance,https://shop.hololivepro.com/products/hsd_valentine2025_fragrance,hololive production official shop,,6,7700,7700,_ng_with_normal_group:hololiveValentine2025 | Generation_ReGLOSS | Generation_ホロライブ0期生 | Generation_ホロライブ1期生 | Generation_ホロライブゲーマーズ | Generation_秘密結社holoX | Group_hololiveDEV_IS | Group_ホロライブ | hololive_seasonaldays | hololiveseasonaldays | hsd_hololivevalentine | Recommended_MERCH | Talent_AZKi | Talent_一条莉々華 | Talent_博衣こより | Talent_星街すいせい | Talent_白上フブキ | Talent_風真いろは
2025-01-07T14:59:10+09:00,誕生日記念,兎田ぺこら 誕生日記念2025,usadapekora_bd2025,https://shop.hololivepro.com/products/usadapekora_bd2025,Usada Pekora,,6,880,15950,Generation_ホロライブ3期生 | Group_ホロライブ | Recommended_MERCH | Talent_兎田ぺこら | 受注生産商品
2025-01-07T15:55:18+09:00,その他,シオリ・ノヴェラ 新衣装記念2025,shiorinovella_no2025,https://shop.hololivepro.com/products/shiorinovella_no2025,Shiori Novella,,6,1100,14300,Generation_hololiveEnglish-Advent- | Group_ホロライブEnglish | Recommended_MERCH | Talent_シオリ・ノヴェラ | 受注生産商品
2025-01-07T16:38:43+09:00,誕生日記念,荒咬オウガ 誕生日記念2025,aragamioga_bd2025,https://shop.hololivepro.com/products/aragamioga_bd2025,Aragami Oga,,6,550,12760,Generation_ホロスターズ3期生 | Group_ホロスターズ | Recommended_MERCH | Recommended_デジタルコンテンツ | Talent_荒咬オウガ | デジタルコンテンツ | 受注生産商品
2025-01-08T09:46:14+09:00,LIVE/イベント物販,hololive 6th fes. Color Rise Harmony デジタルメッセージボード,hololive_6thfes_digitalmessageboard,https://shop.hololivepro.com/products/hololive_6thfes_digitalmessageboard,hololive production official shop,,6,3000,6000,_ng_with_normal_group:hololive6thfes_DMB | Generation_hololiveEnglish-Advent- | Generation_hololiveEnglish-Council- | Generation_hololiveEnglish-Myth- | Generation_hololiveEnglish-Promise- | Generation_ReGLOSS | Generation_ホロライブ0期生 | Generation_ホロライブ1期生 | Generation_ホロライブ2期生 | Generation_ホロライブ3期生 | Generation_ホロライブ4期生 | Generation_ホロライブ5期生 | Generation_ホロライブインドネシア1期生 | Generation_ホロライブインドネシア2期生 | Generation_ホロライブインドネシア3期生 | Generation_ホロライブゲーマーズ | Generation_秘密結社holoX | Group_hololiveDEV_IS | Group_ホロライブ | Group_ホロライブEnglish | Group_ホロライブインドネシア | Recommended_デジタルコンテンツ | Talent_AZKi | Talent_IRyS | Talent_がうる・ぐら | Talent_こぼ・かなえる | Talent_さくらみこ | Talent_ときのそら | Talent_アイラニ・イオフィフティーン | Talent_アキ・ローゼンタール | Talent_アユンダ・リス | Talent_アーニャ・メルフィッサ | Talent_オーロ・クロニー | Talent_カエラ・コヴァルスキア | Talent_クレイジー・オリー | Talent_シオリ・ノヴェラ | Talent_ネリッサ・レイヴンクロフト | Talent_ハコス・ベールズ | Talent_パヴォリア・レイネ | Talent_フワワ・アビスガード | Talent_ベスティア・ゼータ | Talent_ムーナ・ホシノヴァ | Talent_モココ・アビスガード | Talent_ラプラス・ダークネス | Talent_ロボ子さん | Talent_一伊那尓栖 | Talent_一条莉々華 | Talent_七詩ムメイ | Talent_不知火フレア | Talent_儒烏風亭らでん | Talent_兎田ぺこら | Talent_博衣こより | Talent_古石ビジュー | Talent_夏色まつり | Talent_大神ミオ | Talent_大空スバル | Talent_天音かなた | Talent_姫森ルーナ | Talent_宝鐘マリン | Talent_小鳥遊キアラ | Talent_尾丸ポルカ | Talent_常闇トワ | Talent_戌神ころね | Talent_星街すいせい | Talent_桃鈴ねね | Talent_森カリオペ | Talent_火威青 | Talent_猫又おかゆ | Talent_獅白ぼたん | Talent_癒月ちょこ | Talent_白上フブキ | Talent_白銀ノエル | Talent_百鬼あやめ | Talent_紫咲シオン | Talent_角巻わため | Talent_赤井はあと | Talent_轟はじめ | Talent_雪花ラミィ | Talent_音乃瀬奏 | Talent_風真いろは | Talent_鷹嶺ルイ | デジタルのみ | デジタルコンテンツ
2025-01-08T10:24:09+09:00,誕生日記念,アユンダ・リス 誕生日記念2025,ayundarisu_bd2025,https://shop.hololivepro.com/products/ayundarisu_bd2025,Ayunda Risu,,5,2750,18150,Generation_ホロライブインドネシア1期生 | Group_ホロライブインドネシア | Recommended_MERCH | Talent_アユンダ・リス | 受注生産商品
2025-01-08T10:53:04+09:00,ボイス,ホロスターズ バレンタインボイス2025,holostars_valentinevoice2025,https://shop.hololivepro.com/products/holostars_valentinevoice2025,HOLOSTARS,,5,1650,6600,Generation_UPROAR‼︎ | Generation_ホロスターズ1期生 | Generation_ホロスターズ2期生 | Generation_ホロスターズ3期生 | Group_ホロスターズ | Recommended_デジタルコンテンツ | Talent_アステル・レダ | Talent_奏手イヅル | Talent_影山シエン | Talent_水無世燐央 | デジタルのみ | デジタルコンテンツ
